N°,Rev.,Uso Frecuente,Descripción del Activo Fijo,Instrumento (Especificación),Código de inventario del Activo Fijo (Etiqueta) o LEO,Campus/Sede donde se encuentra físicamente el Activo Fijo,Departamento al que pertenece el Activo Fijo,Ubicación del Activo Fijo,RUT usuario responsable del Activo Fijo,Nombre del usuario responsable del Activo Fijo,Estado del Activo Fijo,Marca,Modelo,Serie,Fecha ingreso,Etiqueta USM,Comentarios,Código de inventario del Activo Fijo en Orden Aldabético
454,Disponible,No,Teléfono,Teléfono gondola,LEO-339,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213395,2002-09-16 00:00:00,-,,LEO-0339
455,Disponible,No,Teléfono,Teléfono gondola,LEO-340,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213396,2002-09-16 00:00:00,-,,LEO-0340
456,No Disponible,No,Identificador de llamadas,Identificador de llamadas,LEO-341,Casa Central,Electrónica,-,,Uso general ,-,Bell Phones,LP800,R901100 4267-A,2002-09-16 00:00:00,-,,LEO-0341
457,Disponible,No,Identificador de llamadas,Identificador de llamadas,LEO-342,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Bell Phones,LP800,R901100 5023-A,2002-09-16 00:00:00,-,,LEO-0342
458,Disponible,No,Teléfono,Teléfono digital M7310,LEO-343,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,M7310,NNTM60GCD5NA,2002-09-23 00:00:00,-,,LEO-0343
459,Disponible,No,Teléfono,Teléfono digital M7310,LEO-344,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,M7310,NNTM60GCBUWC,2002-09-23 00:00:00,-,,LEO-0344
460,Disponible,No,Teléfono,Teléfono digital M7310,LEO-345,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,M7310,NNTM60GCBUWE,2002-09-23 00:00:00,-,,LEO-0345
461,Disponible,No,Teléfono,Teléfono digital M7310,LEO-346,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,M7310,NNTM60GCBUVV,2002-09-23 00:00:00,-,,LEO-0346
462,Disponible,No,Identificador de llamadas,Identificador de llamadas,LEO-347,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Southwestern Bell,FM140N,75258,2002-09-23 00:00:00,-,,LEO-0347
463,Disponible,No,Generador,Generador de RF,LEO-348,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,USM,-,-,2002-09-23 00:00:00,-,,LEO-0348
464,Disponible,No,Teléfono,Teléfono digital Meridian,LEO-349,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,nt8b40EA-03,NNTM0400COVF,2002-09-25 00:00:00,-,,LEO-0349
465,Disponible,No,Adaptador de Teléfono,Adaptador de teléfono a PC,LEO-350,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,CTA 200,NNTM84555TRR,2002-09-25 00:00:00,-,,LEO-0350
466,Disponible,No,Adaptador de Teléfono,Adaptador de teléfono a PC,LEO-351,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,CTA 200,NNTM84555TRS,2002-09-25 00:00:00,-,,LEO-0351
467,Disponible,No,Adaptador de Teléfono,Adaptador de teléfono a PC,LEO-352,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,CTA 200,NNTM84555TS5,2002-09-25 00:00:00,-,,LEO-0352
468,Disponible,No,Adaptador de Teléfono,Adaptador de teléfono a PC,LEO-353,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Nortel,CTA 200,NNTM84555TRT,2002-09-25 00:00:00,-,,LEO-0353
469,Disponible,No,Teléfono,Teléfono análogo,LEO-354,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Soundesig,7216IVY,6447192K,2002-09-25 00:00:00,-,,LEO-0354
470,Disponible,Sí,Osciloscopio,Osciloscopio de señal mixta 60 Mhz,LEO-355,Casa Central,Electrónica,Sala B 360,,Uso general ,Operativo,Agilent,54621D,MY40000729,2002-09-27 00:00:00,-,,LEO-0355
471,Disponible,Sí,Osciloscopio,Osciloscopio de señal mixta 60 Mhz,LEO-356,Casa Central,Electrónica,Sala B 360,,Uso general ,Operativo,Agilent,54621D,MY40000742,2002-09-27 00:00:00,-,,LEO-0356
472,Disponible,Sí,Osciloscopio,Osciloscopio de señal mixta 60 Mhz,LEO-357,Casa Central,Electrónica,Sala B 360,,Uso general ,Operativo,Agilent,54621D,MY40001125,2002-09-27 00:00:00,-,,LEO-0357
