N°,Rev.,Uso Frecuente,Descripción del Activo Fijo,Instrumento (Especificación),Código de inventario del Activo Fijo (Etiqueta) o LEO,Campus/Sede donde se encuentra físicamente el Activo Fijo,Departamento al que pertenece el Activo Fijo,Ubicación del Activo Fijo,RUT usuario responsable del Activo Fijo,Nombre del usuario responsable del Activo Fijo,Estado del Activo Fijo,Marca,Modelo,Serie,Fecha ingreso,Etiqueta USM,Comentarios,Código de inventario del Activo Fijo en Orden Aldabético
1196,Disponible,Sí,Sonda de Corriente,Puntas de prueba de corriente,LEO-1073,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AEMC instruments,SL261,121465SJDV,2019-11-20 00:00:00,-,,LEO-1073
1197,Disponible,Sí,Sonda de Corriente,Puntas de prueba de corriente,LEO-1074,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AEMC instruments,SL261,121466SJDV,2019-11-20 00:00:00,-,,LEO-1074
1198,Disponible,Sí,Sonda de Corriente,Puntas de prueba de corriente,LEO-1075,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AEMC instruments,SL261,121472SJDV,2019-11-20 00:00:00,-,,LEO-1075
1199,Disponible,Sí,Sonda de Corriente,Puntas de prueba de corriente,LEO-1076,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AEMC instruments,SL261,121473SJDV,2019-11-20 00:00:00,-,,LEO-1076
1200,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-1077,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Pintek electronics,DP-25,20191668,2019-11-20 00:00:00,-,,LEO-1077
1201,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-1078,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Pintek electronics,DP-25,20191672,2019-11-20 00:00:00,-,,LEO-1078
1202,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-1079,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Pintek electronics,DP-25,20191673,2019-11-20 00:00:00,-,,LEO-1079
1203,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-1080,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Pintek electronics,DP-25,20191677,2019-11-20 00:00:00,-,,LEO-1080
1204,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-1081,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Pintek electronics,DP-25,20191692,2019-11-20 00:00:00,-,,LEO-1081
1205,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-1082,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Pintek electronics,DP-25,20191693,2019-11-20 00:00:00,-,,LEO-1082
1206,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-1083,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Pintek electronics,DP-25,20191694,2019-11-20 00:00:00,-,,LEO-1083
1207,Disponible,Sí,Osciloscopio,Osciloscopio de almacenamiento digital,LEO-1084,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,KEYSIGHT,DSOX1204G,CN59217110,2019-11-20 00:00:00,-,,LEO-1084
1208,Disponible,Sí,Osciloscopio,Osciloscopio de almacenamiento digital,LEO-1085,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,KEYSIGHT,DSOX1204G,CN59217119,2019-11-20 00:00:00,-,,LEO-1085
1209,Disponible,Sí,Cámara,Cámara IP FHD,LEO-1086,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FOSCAM,R2/R4,FIOHE170001305,2019-12-03 00:00:00,-,,LEO-1086
1210,Disponible,Sí,Fuente de Poder,Fuente regenerativa DC,LEO-1087,Casa Central,Electrónica,Profesor Samir Kouro,,Uso general ,Operativo,KEYSIGHT,RP7961A,MY59001004,2020-02-25 00:00:00,-,,LEO-1087
1211,Prestado,Sí,Multímetro,Multitester digital,LEO-1088,Casa Central,Electrónica,Profesor Samir Kouro,,Uso general ,Operativo,KEYSIGHT,U1252B,MY59050014,2020-02-25 00:00:00,-,,LEO-1088
1212,Disponible,Sí,Fuente de Poder,Fuente de Poder,LEO-1089,Casa Central,Electrónica,Profesor Samir Kouro,,Uso general ,Operativo,KEYSIGHT,U8032A,MY59500023,2020-02-25 00:00:00,-,,LEO-1089
1213,Prestado,Sí,Osciloscopio,"Osciloscopio 4 canales, 200 MHz",LEO-1090,Casa Central,Electrónica,Profesor Samir Kouro,,Uso general ,Operativo,KEYSIGHT,DSOX4024A,MY59241770,2020-02-25 00:00:00,-,,LEO-1090
1214,Disponible,Sí,Multímetro,Multitester digital,LEO-1091,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275167,2020-11-16 00:00:00,-,,LEO-1091
1215,Disponible,Sí,Multímetro,Multitester digital,LEO-1092,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275196,2020-11-16 00:00:00,-,,LEO-1092
1216,Disponible,Sí,Multímetro,Multitester digital,LEO-1093,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275062,2020-11-16 00:00:00,-,,LEO-1093
1217,Disponible,Sí,Multímetro,Multitester digital,LEO-1094,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275246,2020-11-16 00:00:00,-,,LEO-1094
1218,Disponible,Sí,Multímetro,Multitester digital,LEO-1095,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275216,2020-11-16 00:00:00,-,,LEO-1095
1219,Disponible,Sí,Multímetro,Multitester digital,LEO-1096,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275202,2020-11-16 00:00:00,-,,LEO-1096
1220,Disponible,Sí,Multímetro,Multitester digital,LEO-1097,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275143,2020-11-16 00:00:00,-,,LEO-1097
1221,Disponible,Sí,Multímetro,Multitester digital,LEO-1098,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275256,2020-11-16 00:00:00,-,,LEO-1098
1222,Disponible,Sí,Multímetro,Multitester digital,LEO-1099,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,CE,MAS830L,1909275205,2020-11-16 00:00:00,-,,LEO-1099
1223,No Disponible,No,Multímetro,Multitester digital,LEO-1100,Casa Central,Electrónica,-,,Uso general ,-,CE,MAS830L,1909275168,2020-11-16 00:00:00,-,,LEO-1100
1224,Disponible,Sí,Grabadora de Audio,Grabadora de Audio,LEO-1101,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Sony,ICD-PX440,1358000,2021-09-03 00:00:00,-,,LEO-1101
1225,No Disponible,No,Grabadora de Audio,Grabadora de Audio,LEO-1102,Casa Central,Electrónica,-,,Uso general ,-,Sony,ICD-PX240,1130450,2021-09-03 00:00:00,-,,LEO-1102
1226,Disponible,Sí,Grabadora de Audio,Grabadora de Audio,LEO-1103,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Sony,ICD-PX240,2029790,2021-09-03 00:00:00,-,,LEO-1103
1227,Disponible,Sí,Grabadora de Audio,Grabadora de Audio,LEO-1104,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Sony,ICD-PX240,2029558,2021-09-03 00:00:00,-,,LEO-1104
1228,Disponible,Sí,Grabadora de Audio,Grabadora de Audio,LEO-1105,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Sony, ,2030304,2021-09-03 00:00:00,-,,LEO-1105
1229,Disponible,No,Computador,Tower,LEO-1106,Casa Central,Electrónica,Sala B 356,,Uso general ,,Hewlett Packard,PRODESK,MXL702265H,2021-10-20 00:00:00,-,,LEO-1106
1230,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1107,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40807,2022-06-01 00:00:00,-,,LEO-1107
1231,No Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1108,Casa Central,Electrónica,-,,Uso general ,-,DIGILENT,NEXYS A7,DB40BB8,2022-06-01 00:00:00,-,,LEO-1108
1232,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1109,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40BA5,2022-06-01 00:00:00,-,,LEO-1109
1233,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1110,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40A7F,2022-06-01 00:00:00,-,,LEO-1110
1234,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1111,Casa Central,Electrónica,Alumno José Guillen,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40A4B,2022-06-01 00:00:00,-,,LEO-1111
1235,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1112,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40A79,2022-06-01 00:00:00,-,,LEO-1112
1236,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1113,Casa Central,Electrónica,Alumno Juan Arzola,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB306B6,2022-06-01 00:00:00,-,,LEO-1113
1237,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1114,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40A21,2022-06-01 00:00:00,-,,LEO-1114
1238,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1115,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40BA7,2022-06-01 00:00:00,-,,LEO-1115
1239,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1116,Casa Central,Electrónica,Profesor Angel Cedeño,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40A62,2022-06-01 00:00:00,-,,LEO-1116
1240,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1117,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40797,2022-06-03 00:00:00,-,,LEO-1117
1241,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1118,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40C82,2022-06-03 00:00:00,-,,LEO-1118
1242,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1119,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40CA9,2022-06-03 00:00:00,-,,LEO-1119
1243,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1120,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40C1E,2022-06-03 00:00:00,-,,LEO-1120
1244,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1121,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB4052E,2022-06-03 00:00:00,-,,LEO-1121
1245,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1122,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40C91,2022-06-03 00:00:00,-,,LEO-1122
1246,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1123,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40C9D,2022-06-03 00:00:00,-,,LEO-1123
1247,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1124,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB4063C,2022-06-03 00:00:00,-,,LEO-1124
1248,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1125,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB4075A,2022-06-03 00:00:00,-,,LEO-1125
1249,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1126,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40C1C,2022-06-03 00:00:00,-,,LEO-1126
1250,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1127,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40C94,2022-06-03 00:00:00,-,,LEO-1127
1251,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1128,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB407AE,2022-06-03 00:00:00,-,,LEO-1128
1252,Prestado,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1129,Casa Central,Electrónica,Alumno Pablo Aravena,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40CA1,2022-06-03 00:00:00,-,,LEO-1129
1253,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1130,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40779,2022-06-03 00:00:00,-,,LEO-1130
1254,Disponible,Sí,Tarjeta de desarrollo,ECE FPGA trainer board,LEO-1131,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,NEXYS A7,DB40746,2022-06-03 00:00:00,-,,LEO-1131
1255,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1132,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB27F97,2022-06-03 00:00:00,-,,LEO-1132
1256,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1133,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB2E55D,2022-06-03 00:00:00,-,,LEO-1133
1257,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1134,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB27F9A,2022-06-03 00:00:00,-,,LEO-1134
1258,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1135,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB2805C,2022-06-03 00:00:00,-,,LEO-1135
1259,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1136,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB27FF3,2022-06-06 00:00:00,-,,LEO-1136
1260,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1137,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB28041,2022-06-06 00:00:00,-,,LEO-1137
1261,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1138,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB28063,2022-06-06 00:00:00,-,,LEO-1138
1262,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1139,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB2804C,2022-06-06 00:00:00,-,,LEO-1139
1263,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1140,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB28003,2022-06-06 00:00:00,-,,LEO-1140
1264,Prestado,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1141,Casa Central,Electrónica,Profesor Gonzalo Carvajal,,Uso general ,Operativo,DIGILENT,210-321,DB28047,2022-06-06 00:00:00,-,,LEO-1141
1265,Disponible,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1142,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,210-321,DB28070,2022-06-06 00:00:00,-,,LEO-1142
1266,Disponible,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1143,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,210-321,DB28067,2022-06-06 00:00:00,-,,LEO-1143
1267,Disponible,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1144,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,210-321,DB28009,2022-06-06 00:00:00,-,,LEO-1144
1268,Disponible,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1145,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,210-321,DB27F99,2022-06-06 00:00:00,-,,LEO-1145
1269,Disponible,Sí,Tarjeta de desarrollo,Analog Discovery 2,LEO-1146,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DIGILENT,210-321,DB2803B,2022-06-06 00:00:00,-,,LEO-1146
1270,Disponible,No,Proyector,Proyector LED,LEO-1147,Casa Central,Electrónica,Sala B 028,,Personal de Taller,Inoperativo,PHILCO,3115N,3115N00414,2022-11-29 00:00:00,-,Comienza Registro PGF,LEO-1147
1271,Disponible,Sí,Osciloscopio,Osciloscopio 100 MHz [2 Canales 2Gs/s],LEO-1148,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,RIGOL,DS2102A,DS2D234603322,2022-12-02 00:00:00,-,,LEO-1148
1272,Disponible,Sí,Generador,Generador de Funciones Arbitrarias,LEO-1149,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,RIGOL,DG1022A,DG1D242300360,2022-12-02 00:00:00,-,,LEO-1149
1273,Disponible,Sí,Osciloscopio,Osciloscopio 100 MHz [2 Canales 2Gs/s],LEO-1150,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,RIGOL,DS2102A,DS2D240200091,2022-12-02 00:00:00,-,,LEO-1150
1274,Disponible,Sí,Generador,Generador de Funciones Arbitrarias,LEO-1151,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,RIGOL,DG1022A,DG1D242300361,2022-12-02 00:00:00,-,,LEO-1151
1275,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1152,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,1044734C96050 003080037000B3150E95E,2023-03-07 00:00:00,-,,LEO-1152
1276,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1153,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,1044734C96050 0031700700A42C50263B,2023-03-07 00:00:00,-,,LEO-1153
1277,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1154,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,1044734C96050 011F6FF1D00D4934FE451,2023-03-07 00:00:00,-,,LEO-1154
1278,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1155,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,1044734C96050 013FAFF0900984B4FC4F5,2023-03-07 00:00:00,-,,LEO-1155
1279,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1156,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,1044734C96050 00DFAFF300062BB4FC780,2023-03-07 00:00:00,-,,LEO-1156
1280,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1157,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,1044734C96050 013ECFF170049464FA893,2023-03-07 00:00:00,-,,LEO-1157
1281,Disponible,Sí,Tarjeta de desarrollo, DSP TMS 320C6748,LEO-1158,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Texas Instruments,PCM 3003 AUDIO,-,2023-04-24 00:00:00,-,,LEO-1158
1282,Prestado,Sí,Tarjeta de desarrollo, DSP TMS 320C6748,LEO-1159,Casa Central,Electrónica,Alumno Nicolas Brito,,Uso general ,Operativo,Texas Instruments,PCM 3003 AUDIO,-,2023-04-25 00:00:00,-,,LEO-1159
1283,Disponible,Sí,Proyector,LCD Projector,LEO-1160,Casa Central,Electrónica,Sala B 357,,Uso general ,Operativo,EPSON,H981A,X8B22Z01826,2023-11-02 00:00:00,-,,LEO-1160
1284,Disponible,Sí,TV Explorer,TV Explorer,LEO-1161,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,PROMAX,HD ISDB-T/T B,PG009CBS11E,2023-11-02 00:00:00,-,,LEO-1161
1285,Disponible,Sí,Tarjeta de desarrollo,Tarjeta de Desarrollo Arquitectura MD-Xilinx Zynq UltraScale+,LEO-1162,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AVNET,AES-ZUB-1CG-DK-G,4001003 1201 2341 000681,2023-11-02 00:00:00,-,,LEO-1162
1286,Disponible,Sí,Tarjeta de desarrollo,Tarjeta de Desarrollo Arquitectura MD-Xilinx Zynq UltraScale+,LEO-1163,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AVNET,AES-ZUB-1CG-DK-G,4001003 1201 2341 000609,2023-11-02 00:00:00,-,,LEO-1163
1287,Prestado,Sí,Tarjeta de desarrollo,Tarjeta de Desarrollo Arquitectura MD-Xilinx Zynq UltraScale+,LEO-1164,Casa Central,Electrónica,Alumno Juan Vasquez,,Uso general ,Operativo,AVNET,AES-ZUB-1CG-DK-G,4001003 1201 2341 000298,2023-11-02 00:00:00,-,,LEO-1164
1288,Disponible,No,Raspberry Pi 4,Raspberry Pi 4,LEO-1165,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Raspberry Pi Fundation,Model B 8G - con Case Canal KIT,11043782892,2024-01-02 00:00:00,-,,LEO-1165
1289,Disponible,Sí,Osciloscopio,Osciloscopio Digital Portable 100 MHz [2 Canales],LEO-1166,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Gwinstek,GDS-1102B,GEW190709,2024-05-15 00:00:00,-,,LEO-1166
1290,Disponible,Sí,Osciloscopio,Osciloscopio Digital Portable 100 MHz [2 Canales],LEO-1167,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Gwinstek,GDS-1102B,GEW180534,2024-05-15 00:00:00,-,,LEO-1167
1291,Disponible,Sí,Generador,Generador de Funciones Arbitrarias,LEO-1168,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Gwinstek,AFG-2225,GEX881908,2024-05-15 00:00:00,-,,LEO-1168
1292,Disponible,Sí,Generador,Generador de Funciones Arbitrarias,LEO-1169,Casa Central,Electrónica,Sala B 028,,Uso general ,Operativo,Gwinstek,AFG-2225,GEX881932,2024-05-15 00:00:00,-,,LEO-1169
1293,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1170,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,104473E6A60F0 0011C000C00823417B2E6,2024-09-27 00:00:00,-,,LEO-1170
1294,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1171,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,10447318AC0F0 017FFFF0C0079A517A743,2024-09-27 00:00:00,-,,LEO-1171
1295,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1172,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,10447318AC0F0 016F1FF2600988717D48F,2024-09-27 00:00:00,-,,LEO-1172
1296,Disponible,Sí,Tarjeta de desarrollo,SDR Modulo de Aprendizaje,LEO-1173,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ANALOG DEVICE,ADALM-PLUTO,104473E6A60F0 002F9FF0700E217161DD9,2024-09-27 00:00:00,-,,LEO-1173
1297,Disponible,No,Sintonizador Digital para PC,Sintonizador digital para PC (TV digital para PC),LEO-1174,Casa Central,Electrónica,Sala B 356,,Uso general ,sin uso,Microlab,ISDB-T,F3WUY7DGERMAE-MT4BNQV3G5EE4,2024-10-07 00:00:00,-,,LEO-1174
1298,Disponible,No,Sintonizador Digital para PC,Sintonizador digital para PC (TV digital para PC),LEO-1175,Casa Central,Electrónica,Sala B 356,,Uso general ,sin uso,UT,UT-200AJH,s/n,2024-10-07 00:00:00,-,,LEO-1175
1299,Disponible,No,Capturadora de Video HDMI,Capturadora de Video HDMI USB 3.0,LEO-1176,Casa Central,Electrónica,Sala B 356,,Uso general ,sin uso,4K ULTRA HD,HDCP 2.2 EDID,s/n,2024-10-09 00:00:00,-,,LEO-1176
1300,Disponible,No,Grabadora de Video,Grabadora de Video ,LEO-1177,Casa Central,Electrónica,Sala B 356,,Uso general ,sin uso,Panasonic AVCAM,AF-HMC80P,I2TDA0116,2024-10-09 00:00:00,-,,LEO-1177
1301,Disponible,No,Conversor 3G SDI a HDMI,"Conversor 3G SDI a HDMI, Monitor BNC Coaxial",LEO-1178,Casa Central,Electrónica,Sala B 356,,Uso general ,sin uso,WizzoTech,3G HDMI TOSDI Audio,s/n,2024-10-09 00:00:00,-,,LEO-1178
1302,Disponible,Sí,Multímetro,Multitester digital,LEO-1179,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Uni-T,UT61D+,C222054286,2024-10-17 00:00:00,-,,LEO-1179
1303,Disponible,Sí,Multímetro,Multitester digital,LEO-1180,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Uni-T,UT61D+,C222054279,2024-10-17 00:00:00,-,,LEO-1180
1304,Disponible,Sí,Osciloscopio,Osciloscopio 3 e 1 (Osc-Gen-Tester Probador),LEO-1181,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FNIRSI,DS0-TC3,-,2025-03-05 00:00:00,-,,LEO-1181
1305,Disponible,Sí,Osciloscopio,Osciloscopio 3 e 1 (Osc-Gen-Tester Probador),LEO-1182,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FNIRSI,DS0-TC3,-,2025-03-05 00:00:00,-,,LEO-1182
1306,Prestado,Sí,Osciloscopio,Osciloscopio 3 e 1 (Osc-Gen-Tester Probador),LEO-1183,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FNIRSI,DS0-TC3,-,2025-03-05 00:00:00,-,,LEO-1183
1307,Disponible,Sí,Osciloscopio,Osciloscopio 3 e 1 (Osc-Gen-Tester Probador),LEO-1184,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FNIRSI,DS0-TC3,-,2025-03-05 00:00:00,-,,LEO-1184
1308,Disponible,Sí,Osciloscopio,Osciloscopio 3 e 1 (Osc-Gen-Tester Probador),LEO-1185,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FNIRSI,DS0-TC3,-,2025-03-05 00:00:00,-,,LEO-1185
